time,open,close,high,low,volume,Unnamed: 0
1628696160000,3.0675,3.0675,3.0675,3.0675,0.15689518,
1628696280000,3.0782,3.0782,3.0782,3.0782,0.11522108,
1628696700000,3.0915,3.0921,3.0921,3.0915,10.87108,
1628696820000,3.0834,3.0834,3.0834,3.0834,0.05366879,
1628696940000,3.0871,3.0871,3.0871,3.0871,0.27513372,
1628697060000,3.069,3.069,3.069,3.069,0.01428494,
1628697120000,3.0712,3.073,3.073,3.0712,313.026072,
1628697180000,3.0618,3.0618,3.0618,3.0618,0.44814012,
1628697300000,3.0571,3.0571,3.0571,3.0571,0.35891086,
1628697420000,3.0542,3.0542,3.0542,3.0542,0.15139773,
1628697600000,3.0566,3.0566,3.0566,3.0566,0.09364807,
1628697780000,3.0421,3.0406,3.0421,3.0406,23.06423431,
1628697840000,3.0416,3.0416,3.0416,3.0416,0.57836853,
1628697960000,3.0419,3.0428,3.0428,3.0419,19.2684831,
1628699880000,3.0768,3.0812,3.0812,3.0768,11.41913453,
1628700360000,3.0956,3.0956,3.0956,3.0956,3.79330296,
1628700660000,3.0838,3.0823,3.0838,3.08,19.54691926,
1628700720000,3.0756,3.0756,3.0756,3.0756,3.80826391,
1628700840000,3.0647,3.0669,3.0669,3.0647,0.16602233,
1628700960000,3.0777,3.0777,3.0777,3.0777,0.27809792,
1628701560000,3.0799,3.0799,3.0799,3.0799,3.81324545,
1628702220000,3.0706,3.0758,3.0758,3.0706,0.05993344,
1628702280000,3.0758,3.0758,3.0758,3.0758,0.14956381,
1628702760000,3.0613,3.0613,3.0613,3.0613,2.0,
1628702880000,3.0646,3.0593,3.0646,3.0593,3.50798023,
1628703000000,3.0643,3.0643,3.0643,3.0643,0.06438875,
1628703780000,3.066,3.066,3.066,3.066,2.0,
1628704500000,3.0712,3.0712,3.0712,3.0712,3.81481334,
1628704620000,3.0667,3.0667,3.0667,3.0667,0.0202946,
1628704740000,3.065,3.065,3.065,3.065,0.01755863,
1628704800000,3.0646,3.0646,3.0646,3.0646,0.05453246,
1628704860000,3.0637,3.0637,3.0637,3.0637,0.00821167,
1628704920000,3.0655,3.0655,3.0655,3.0655,0.04174213,
1628707920000,3.0413,3.0439,3.0439,3.0411,342.91847724,
